prompt_no,connector,sentiment,archive_file,archive_offset,global_offset,n,dimensions,source_embedding_file,source_text_file
216,1,neg,justification_embeddings_float32_part03.npz,9000,42000,147,1536,neg_embed_216_1_2_fin.pkl,neg_lst_216_1.pkl
216,1,pos,justification_embeddings_float32_part03.npz,9147,42147,353,1536,pos_embed_216_1_2_fin.pkl,pos_lst_216_1.pkl
216,2,neg,justification_embeddings_float32_part03.npz,9500,42500,147,1536,neg_embed_216_2_2_fin.pkl,neg_lst_216_1.pkl
216,2,pos,justification_embeddings_float32_part03.npz,9647,42647,353,1536,pos_embed_216_2_2_fin.pkl,pos_lst_216_1.pkl
216,3,neg,justification_embeddings_float32_part03.npz,10000,43000,147,1536,neg_embed_216_3_2_fin.pkl,neg_lst_216_1.pkl
216,3,pos,justification_embeddings_float32_part03.npz,10147,43147,353,1536,pos_embed_216_3_2_fin.pkl,pos_lst_216_1.pkl
216,4,neg,justification_embeddings_float32_part03.npz,10500,43500,147,1536,neg_embed_216_4_2_fin.pkl,neg_lst_216_1.pkl
216,4,pos,justification_embeddings_float32_part03.npz,10647,43647,353,1536,pos_embed_216_4_2_fin.pkl,pos_lst_216_1.pkl
216,5,neg,justification_embeddings_float32_part03.npz,11000,44000,147,1536,neg_embed_216_5_2_fin.pkl,neg_lst_216_1.pkl
216,5,pos,justification_embeddings_float32_part03.npz,11147,44147,353,1536,pos_embed_216_5_2_fin.pkl,pos_lst_216_1.pkl
216,6,neg,justification_embeddings_float32_part03.npz,11500,44500,147,1536,neg_embed_216_6_2_fin.pkl,neg_lst_216_1.pkl
216,6,pos,justification_embeddings_float32_part03.npz,11647,44647,353,1536,pos_embed_216_6_2_fin.pkl,pos_lst_216_1.pkl
217,1,neg,justification_embeddings_float32_part03.npz,12000,45000,331,1536,neg_embed_217_1_2_fin.pkl,neg_lst_217_1.pkl
217,1,pos,justification_embeddings_float32_part03.npz,12331,45331,169,1536,pos_embed_217_1_2_fin.pkl,pos_lst_217_1.pkl
217,2,neg,justification_embeddings_float32_part03.npz,12500,45500,331,1536,neg_embed_217_2_2_fin.pkl,neg_lst_217_1.pkl
217,2,pos,justification_embeddings_float32_part03.npz,12831,45831,169,1536,pos_embed_217_2_2_fin.pkl,pos_lst_217_1.pkl
217,3,neg,justification_embeddings_float32_part03.npz,13000,46000,331,1536,neg_embed_217_3_2_fin.pkl,neg_lst_217_1.pkl
217,3,pos,justification_embeddings_float32_part03.npz,13331,46331,169,1536,pos_embed_217_3_2_fin.pkl,pos_lst_217_1.pkl
217,4,neg,justification_embeddings_float32_part03.npz,13500,46500,331,1536,neg_embed_217_4_2_fin.pkl,neg_lst_217_1.pkl
217,4,pos,justification_embeddings_float32_part03.npz,13831,46831,169,1536,pos_embed_217_4_2_fin.pkl,pos_lst_217_1.pkl
217,5,neg,justification_embeddings_float32_part03.npz,14000,47000,331,1536,neg_embed_217_5_2_fin.pkl,neg_lst_217_1.pkl
217,5,pos,justification_embeddings_float32_part03.npz,14331,47331,169,1536,pos_embed_217_5_2_fin.pkl,pos_lst_217_1.pkl
217,6,neg,justification_embeddings_float32_part03.npz,14500,47500,331,1536,neg_embed_217_6_2_fin.pkl,neg_lst_217_1.pkl
217,6,pos,justification_embeddings_float32_part03.npz,14831,47831,169,1536,pos_embed_217_6_2_fin.pkl,pos_lst_217_1.pkl
220,1,neg,justification_embeddings_float32_part03.npz,15000,48000,135,1536,neg_embed_220_1_2_fin.pkl,neg_lst_220_1.pkl
220,1,pos,justification_embeddings_float32_part03.npz,15135,48135,365,1536,pos_embed_220_1_2_fin.pkl,pos_lst_220_1.pkl
220,2,neg,justification_embeddings_float32_part03.npz,15500,48500,135,1536,neg_embed_220_2_2_fin.pkl,neg_lst_220_1.pkl
220,2,pos,justification_embeddings_float32_part03.npz,15635,48635,365,1536,pos_embed_220_2_2_fin.pkl,pos_lst_220_1.pkl
220,3,neg,justification_embeddings_float32_part03.npz,16000,49000,135,1536,neg_embed_220_3_2_fin.pkl,neg_lst_220_1.pkl
220,3,pos,justification_embeddings_float32_part03.npz,16135,49135,365,1536,pos_embed_220_3_2_fin.pkl,pos_lst_220_1.pkl
220,4,neg,justification_embeddings_float32_part04.npz,0,49500,135,1536,neg_embed_220_4_2_fin.pkl,neg_lst_220_1.pkl
220,4,pos,justification_embeddings_float32_part04.npz,135,49635,365,1536,pos_embed_220_4_2_fin.pkl,pos_lst_220_1.pkl
220,5,neg,justification_embeddings_float32_part04.npz,500,50000,135,1536,neg_embed_220_5_2_fin.pkl,neg_lst_220_1.pkl
